,loss,test_loss,acc,test_acc
0,1.3316225677296736,1.115082444920056,0.5721404303510759,0.8084560211400529
1,1.079741068220369,1.0469082379398715,0.8317855794639487,0.8631936579841449
2,1.0567267945999108,1.038310131157078,0.8502831257078143,0.8668931672329181
3,1.0433800092353913,1.0321973352040645,0.8627406568516421,0.8776141940354851
4,1.0347139640994694,1.0264913815519083,0.8711211778029445,0.8782936957342393
5,1.0301921199197355,1.0180695048276929,0.8748206870517177,0.8866742166855417
6,1.0285612091350094,1.0159180803575378,0.8764061910154776,0.8879577198942997
7,1.0283640361062572,1.0178631571467949,0.8767081917704794,0.8874292185730465
8,1.0266873028831205,1.019757851742316,0.8765571913929785,0.8848622121555304
9,1.0243440804562132,1.0127163866291875,0.8805587013967535,0.8923367308418271
10,1.0237003590749658,1.0123555458686202,0.8810117025292563,0.8920347300868252
11,1.0221377039589168,1.0113542156231001,0.8822952057380143,0.8925632314080785
12,1.0209417969420336,1.0142943083088178,0.88320120800302,0.8898452246130615
13,1.0204664690483018,1.010041922042911,0.8840317100792752,0.8938467346168365
14,1.0175801665310698,1.0087969362159859,0.8868252170630426,0.8950547376368441
15,1.0150399176394882,1.0116254233795663,0.888637221593054,0.8921857304643261
16,1.0139623218112521,1.0167018556652438,0.8898452246130615,0.8872782181955455
17,1.0144065905020432,1.0045366511828657,0.8890147225368064,0.8986032465081163
18,1.0142677627899797,1.0052089672445674,0.8890902227255568,0.8977727444318611
19,1.0100781405029666,1.0037989440747506,0.8933182332955832,0.8994337485843714
20,1.0138240119685298,1.0476757655109183,0.8895432238580596,0.854888637221593
21,1.0116664593058509,1.0160727005649879,0.891355228388071,0.8865987164967912
22,1.0070703602643405,1.003861954966605,0.8964137410343526,0.8989807474518686
23,1.005398221205974,1.002481120939992,0.8977727444318611,0.9001887504718762
24,1.005309565919609,1.0000321230162745,0.8977727444318611,0.9026047565118913
25,1.0053869935049526,1.000565238908869,0.897923744809362,0.9018497546243865
26,1.00755179417882,1.0038859268317475,0.8949792374480936,0.89920724801812
27,1.004268170122939,0.9994105675082275,0.897923744809362,0.9030577576443941
28,1.002756013530464,0.9983586029729982,0.8998867497168743,0.9038882597206493
29,1.0007306235136042,1.0007092682059837,0.9013212533031333,0.9023782559456399
30,1.005517079922312,0.9998428342135056,0.8970932427331069,0.9026802567006418
31,1.0017025274930944,0.9957057037503247,0.900490751226878,0.9065307663269159
32,1.0017480783992343,0.9987455459608547,0.9007927519818799,0.9038127595318989
33,0.9990529769284714,0.9959788094972066,0.903208758021895,0.9063042657606644
34,0.9983077404867624,0.9956854505527423,0.9042657606644017,0.905926764816912
35,0.9979919385218966,0.9964421621843237,0.9041147602869007,0.9054737636844092
36,0.9979909513019709,0.9937122936410029,0.9041147602869007,0.908644771611929
37,0.9943899492134795,0.9930459861306177,0.9079652699131748,0.909928274820687
38,0.991737741491069,0.9878173412908102,0.9104567761419403,0.9145337863344658
39,0.990570602785562,0.9895981292505771,0.911362778406946,0.9124952812382031
40,0.9880701634618971,0.9866009890169337,0.9141562853907135,0.9150622876557192
41,0.9858832461534491,0.9852449438998089,0.9161192902982257,0.9167232918082295
42,0.984319941289183,0.9842141040281397,0.9174027935069837,0.9186862967157418
43,0.9821165758342558,0.9822471343376786,0.9199697999244998,0.9195922989807475
44,0.9813723460487698,0.9807023725647858,0.9204228010570027,0.9210268025670064
45,0.9822723707139204,0.9817159388952209,0.9201208003020007,0.9201963004907512
