0.89,0.89,0.84,0.80,0.79,0.79,0.76,0.63,0.63,0.55,0.54,0.52,0.52,0.45,0.40,0.39
0.66,0.65,0.65,0.64,0.64,0.64,0.62,0.48,0.47,0.44,0.43,0.40,0.40,0.39,0.39,0.39
0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.46,0.43,0.42,0.42,0.41,0.41,0.40,0.39,0.37
0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36
0.40,0.39,0.39,0.39,0.39,0.39,0.39,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33
0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
