,best_test_acc
0,0.9514533786334466
1,0.9573423933559834
2,0.9535673839184597
3,0.957115892789732
4,0.9763684409211023
5,0.977123442808607
6,0.9561343903359758
7,0.9646659116647791
8,0.9538693846734617
9,0.9781049452623631
