,best_test_acc
0,0.9808984522461306
1,0.9812004530011325
2,0.9571913929784824
3,0.9852774631936579
4,0.9790864477161193
5,0.9779539448848622
6,0.9741789354473386
7,0.9808229520573801
8,0.9786334465836165
9,0.9788599471498679
