,best_test_acc
0,0.950245375613439
1,0.9420158550396376
2,0.9352963382408456
3,0.976972442431106
4,0.9500943752359381
5,0.955681389203473
6,0.9564363910909778
7,0.9192902982257456
8,0.9642884107210268
9,0.9564363910909778
