,best_test_acc
0,0.9845979614949038
1,0.9846734616836542
2,0.984144960362401
3,0.9880709701774254
4,0.983691959229898
5,0.983691959229898
6,0.985126462816157
7,0.9842204605511514
8,0.9849754624386561
9,0.9888259720649302
