,best_test_acc
0,0.9839939599848999
1,0.9847489618724047
2,0.9823329558323896
3,0.984144960362401
4,0.984144960362401
5,0.9808984522461306
6,0.989127972819932
7,0.984144960362401
8,0.9845979614949038
9,0.9882219705549263
