,loss,test_loss,acc,test_acc
164,0.9192012092053602,0.9337351913901343,0.9855794639486599,0.9711589278973197
165,0.9196865059039443,0.9245587296531972,0.9850509626274065,0.9802189505473764
166,0.9175734833818703,0.9244423229337314,0.9874669686674217,0.9802944507361269
167,0.9165688509814405,0.9256197147899203,0.9882219705549263,0.9790864477161193
168,0.9175947764933398,0.924458606807506,0.9873159682899207,0.9803699509248773
169,0.918811911114172,0.9273076221562814,0.9860324650811627,0.9773499433748585
170,0.9184016880493809,0.9262490230769926,0.9861834654586636,0.978406946017365
171,0.9173918595348579,0.9298937028444908,0.9875424688561721,0.9750849377123443
172,0.9177280661564519,0.9252621213307127,0.9870894677236693,0.9797659494148735
173,0.9164389564795195,0.9246631293481099,0.9885994714986788,0.9802944507361269
174,0.917343647295726,0.9249048971611521,0.9874669686674217,0.9796149490373726
175,0.9170490065634539,0.9229725399167066,0.9876934692336731,0.9817289543223858
176,0.9184777811529555,0.9270866294413949,0.9863344658361646,0.9778784446961117
177,0.9182336775289066,0.9235413587035765,0.9866364665911664,0.981426953567384
178,0.9170681379267559,0.9246470114747107,0.9876934692336731,0.9802944507361269
179,0.9178397250924133,0.9253443689737919,0.9870894677236693,0.9794639486598716
180,0.9179763225253653,0.9279558804012151,0.9869384673461684,0.9768969422423556
181,0.920842278694761,0.9239218104000829,0.983842959607399,0.9808229520573801
182,0.9164503346318784,0.9251581323895477,0.9883729709324274,0.9795394488486221
183,0.9160448669811377,0.9252592594439281,0.9888259720649302,0.9796149490373726
184,0.9177428920199906,0.9310577531943575,0.9869384673461684,0.9736504341260853
185,0.9198158746180327,0.9305086664243597,0.9849754624386561,0.9740279350698376
186,0.9176233091216156,0.9260178329288096,0.9873914684786712,0.978557946394866
187,0.9171185409965147,0.925006961333003,0.9879199697999245,0.9797659494148735
188,0.9171001204258002,0.9262225817942965,0.987844469611174,0.978557946394866
189,0.9170104414944488,0.9239943400385299,0.987844469611174,0.9805964514911287
190,0.9182760803307888,0.9290731065515159,0.9862589656474141,0.975839939599849
191,0.9165116299465659,0.9241728740901762,0.9884484711211778,0.9805964514911287
192,0.9178725773297646,0.9238710481187572,0.9869384673461684,0.9808229520573801
193,0.9182926895825759,0.9295168006477724,0.986862967157418,0.974707436768592
194,0.917754372248903,0.9248433989891107,0.9869384673461684,0.9799169497923745
195,0.9163763917586654,0.9244330640576311,0.9884484711211778,0.9803699509248773
196,0.9189132233172799,0.9229210376163611,0.9860324650811627,0.9816534541336354
197,0.9160340431231807,0.923396426986381,0.9888259720649302,0.981124952812382
198,0.9204690632036918,0.9278114078125516,0.9840694601736504,0.977274443186108
199,0.9174739205894838,0.923793939144715,0.9874669686674217,0.9808229520573801
200,0.9208549177589048,0.9337618587097684,0.9839939599848999,0.9710079275198188
201,0.9192936277907827,0.924392991595798,0.9853529633824084,0.979841449603624
202,0.9171091195753807,0.9215781609505271,0.9876179690449226,0.9830879577198943
203,0.9148373451209875,0.9232093878990211,0.9900339750849377,0.9816534541336354
204,0.9162866517829434,0.9219537642267015,0.9882974707436769,0.9831634579086448
205,0.9154373089184508,0.9225505763205929,0.9894299735749339,0.9821064552661382
206,0.9156527368054874,0.9245166424391926,0.9890524726311816,0.9802944507361269
207,0.9182983764991668,0.9278501194456349,0.986409966024915,0.9766704416761042
208,0.9201735262421594,0.9239507441359441,0.9843714609286524,0.9807474518686297
