,best_test_acc
0,0.9762174405436014
1,0.9509248773121933
2,0.9527368818422046
3,0.9509248773121933
4,0.9744054360135901
5,0.9513023782559457
6,0.9512268780671952
7,0.9534918837297093
8,0.9413363533408834
9,0.9775009437523594
