,best_test_acc
0,0.9700264250660626
1,0.9537938844847113
2,0.9680634201585504
3,0.953114382785957
4,0.9551528878822197
5,0.9611929029822575
6,0.9561343903359758
7,0.9790864477161193
8,0.9543223858059645
9,0.9766704416761042
